Date,Close_itx,Close_bbva,Close_acs,Close_san,Close_ibex
2010-01-04,8.79,12.460849,35.447815,10.916778,12145.099609
2010-01-05,8.732,12.547316,36.070576,11.037456,12204.400391
2010-01-06,8.736,12.595353,36.144711,11.116361,12222.5
2010-01-07,8.608,12.537709,35.783909,11.065305,12166.299805
2010-01-08,8.638,12.633783,36.564827,11.102437,12163.0
2010-01-11,8.789,12.547316,36.851494,11.121003,12074.5
2010-01-12,8.711,12.542512,35.546665,10.912136,11966.099609
2010-01-13,8.862,12.441634,36.026093,10.828589,11958.299805
2010-01-14,8.967,12.460849,36.27816,10.888929,11999.799805
2010-01-15,8.951,12.30713,35.724598,10.67542,11845.0
2010-01-18,8.99,12.30713,35.685059,10.717194,11870.700195
2010-01-19,9.163,12.422419,35.932182,10.921419,12022.599609
2010-01-20,9.052,12.086159,35.210575,10.554742,11709.0
2010-01-21,8.942,11.721076,34.474136,10.109159,11444.0
2010-01-22,8.88,11.673039,34.459309,10.072027,11373.400391
2010-01-25,8.788,11.452068,34.597702,9.932782,11249.299805
2010-01-26,8.948,11.55775,34.607586,9.993122,11347.299805
2010-01-27,8.8,10.822781,34.133102,9.487199,11042.200195
2010-01-28,9.056,10.544165,33.698158,9.310823,10829.299805
2010-01-29,9.127,10.664258,33.797012,9.561463,10947.700195
2010-02-01,9.241,10.678669,33.71793,9.631086,10995.200195
2010-02-02,9.198,10.798762,34.004597,9.858518,11140.900391
2010-02-03,8.853,10.347212,33.535057,9.477916,10888.400391
2010-02-04,8.454,9.567088,31.721149,8.586751,10241.700195
2010-02-05,8.619,9.291355,32.126434,8.572826,10103.299805
2010-02-08,8.499,9.345156,32.319195,8.738992,10206.299805
2010-02-09,8.578,9.443152,32.521839,8.934862,10275.400391
2010-02-10,8.522,9.761159,32.729424,9.266265,10455.0
2010-02-11,8.445,9.597832,32.324139,9.010055,10281.700195
2010-02-12,8.53,9.551716,32.324139,8.868025,10224.900391
2010-02-15,8.587,9.60744,32.660229,8.956213,10293.599609
2010-02-16,8.657,9.703514,32.670113,9.064824,10393.900391
2010-02-17,8.611,9.751551,32.81839,9.199427,10498.599609
2010-02-18,8.486,9.77557,32.91724,9.273691,10574.200195
