Date,Close_bbva,Close_bankinter,Close_sabadell,Close_santander,Close_ibex
2010-01-04,12.460849,2.272987,2.34724,10.916778,12145.099609
2010-01-05,12.547316,2.282862,2.382805,11.037456,12204.400391
2010-01-06,12.595353,2.293046,2.430224,11.116361,12222.5
2010-01-07,12.537709,2.268358,2.427853,11.065305,12166.299805
2010-01-08,12.633783,2.274529,2.44682,11.102437,12163.0
2010-01-11,12.547316,2.249841,2.459268,11.121003,12074.5
2010-01-12,12.542512,2.221755,2.468752,10.912136,11966.099609
2010-01-13,12.441634,2.233175,2.471715,10.828589,11958.299805
2010-01-14,12.460849,2.217125,2.471123,10.888929,11999.799805
2010-01-15,12.30713,2.206631,2.416591,10.67542,11845.0
2010-01-18,12.30713,2.183484,2.411256,10.717194,11870.700195
2010-01-19,12.422419,2.183484,2.405921,10.921419,12022.599609
2010-01-20,12.086159,2.127007,2.343091,10.554742,11709.0
2010-01-21,11.721076,2.093986,2.279668,10.109159,11444.0
2010-01-22,11.673039,2.07701,2.306342,10.072027,11373.400391
2010-01-25,11.452068,2.035041,2.289152,9.932782,11249.299805
2010-01-26,11.55775,2.05541,2.311083,9.993122,11347.299805
2010-01-27,10.822781,1.999858,2.319975,9.487199,11042.200195
2010-01-28,10.544165,1.986586,2.279076,9.310823,10829.299805
2010-01-29,10.664258,1.997081,2.287374,9.561463,10947.700195
2010-02-01,10.678669,1.992452,2.267814,9.631086,10995.200195
2010-02-02,10.798762,2.013436,2.270185,9.858518,11140.900391
2010-02-03,10.347212,1.930109,2.219209,9.477916,10888.400391
2010-02-04,9.567088,1.842462,2.084065,8.586751,10241.700195
2010-02-05,9.291355,1.826722,2.050872,8.572826,10103.299805
2010-02-08,9.345156,1.84493,2.066876,8.738992,10206.299805
2010-02-09,9.443152,1.820857,2.06569,8.934862,10275.400391
2010-02-10,9.761159,1.92085,2.113109,9.266265,10455.0
2010-02-11,9.597832,1.86746,2.080509,9.010055,10281.700195
2010-02-12,9.551716,1.824561,2.069839,8.868025,10224.900391
2010-02-15,9.60744,1.839374,2.079916,8.956213,10293.599609
2010-02-16,9.703514,1.856966,2.100069,9.064824,10393.900391
2010-02-17,9.751551,1.873016,2.10244,9.199427,10498.599609
2010-02-18,9.77557,1.840916,2.114887,9.273691,10574.200195
2010-02-19,9.818803,1.851721,2.132077,9.366521,10676.700195
2010-02-22,9.717925,1.898014,2.14571,9.18179,10570.5
2010-02-23,9.369175,1.854804,2.105996,8.804901,10312.900391
2010-02-24,9.203927,1.841226,2.110738,8.679581,10254.0
2010-02-25,9.017543,1.830426,2.099476,8.57654,10126.200195
2010-02-26,9.175105,1.850175,2.105403,8.864312,10333.599609
2010-03-01,9.206809,1.855424,2.11548,8.965496,10434.900391
2010-03-02,9.355725,1.860979,2.158157,9.004485,10521.5
2010-03-03,9.527698,1.883506,2.222766,9.223563,10664.5
2010-03-04,9.665084,1.944307,2.282632,9.324747,10745.299805
2010-03-05,10.049382,2.022385,2.329458,9.649652,11019.799805
2010-03-08,10.193493,2.032264,2.408885,9.682142,11078.299805
2010-03-09,10.097419,2.011895,2.407107,9.589312,11002.799805
2010-03-10,10.231923,2.047383,2.47705,9.728557,11121.0
2010-03-11,10.155064,2.057262,2.475865,9.589312,11045.400391
2010-03-12,10.164671,2.035041,2.531582,9.621803,11077.0
2010-03-15,10.058989,2.006645,2.542251,9.477916,10957.799805
2010-03-16,10.169475,2.010659,2.579594,9.566105,11059.299805
2010-03-17,10.231923,2.032264,2.588485,9.64501,11166.799805
2010-03-18,10.049382,1.987512,2.56359,9.477916,11073.5
2010-03-19,9.924485,1.979179,2.558848,9.310823,10990.799805
2010-03-22,9.785177,1.919614,2.495425,9.152084,10861.900391
2010-03-23,9.958111,1.941835,2.50728,9.320106,10996.200195
2010-03-24,9.823607,1.928873,2.448006,9.088032,10866.299805
2010-03-25,10.054185,1.964366,2.471715,9.338672,11091.400391
2010-03-26,10.025363,1.976712,2.474679,9.338672,11071.099609
2010-03-29,9.98213,1.959736,2.480606,9.357238,11091.0
2010-03-30,9.818803,1.93196,2.460453,9.24677,10980.700195
2010-03-31,9.732336,1.901097,2.423111,9.134446,10871.299805
2010-04-01,9.972522,1.938131,2.434373,9.366521,11067.900391
2010-04-06,10.126241,1.938131,2.448599,9.436143,11160.599609
2010-04-07,10.433679,1.952945,2.461046,9.468634,11191.299805
2010-04-08,10.376035,1.93196,2.430224,9.343313,11076.299805
2010-04-09,10.76994,1.979489,2.501352,9.723915,11394.200195
2010-04-12,10.745921,2.035041,2.522691,9.923499,11460.799805
2010-04-13,10.80837,2.017755,2.536916,9.928141,11461.0
2010-04-14,10.798762,2.010043,2.557662,9.969914,11503.700195
2010-04-15,10.870818,2.007571,2.570703,10.016329,11523.5
2010-04-16,10.616221,1.966527,2.480606,9.73784,11259.700195
2010-04-19,10.577791,1.927641,2.461639,9.658934,11199.5
2010-04-20,10.750725,1.943997,2.465788,9.774972,11305.599609
2010-04-21,10.462502,1.884126,2.424296,9.496482,11064.700195
2010-04-22,10.135849,1.825176,2.353168,9.200356,10821.900391
2010-04-23,10.203101,1.805428,2.410254,9.245842,10918.200195
2010-04-26,10.284764,1.800798,2.403611,9.320106,10939.299805
2010-04-27,9.693906,1.697408,2.306984,8.81604,10480.900391
2010-04-28,9.232749,1.681978,2.285846,8.447506,10167.0
2010-04-29,9.529619,1.69463,2.306984,8.782622,10441.0
2010-04-30,9.552677,1.709754,2.306984,8.86524,10492.200195
2010-05-03,9.45372,1.697102,2.294905,8.601604,10422.799805
2010-05-04,8.736045,1.615626,2.192238,7.992641,9859.099609
2010-05-05,8.417078,1.561306,2.140905,7.793057,9635.200195
2010-05-06,8.016447,1.493413,2.09863,7.435662,9352.599609
2010-05-07,7.715735,1.450513,2.10165,7.157173,9046.099609
2010-05-10,9.415291,1.658521,2.294301,8.818825,10351.900391
2010-05-11,9.127068,1.584147,2.201901,8.525483,10008.599609
2010-05-12,9.22026,1.602354,2.233909,8.558902,10089.799805
2010-05-13,9.127068,1.552358,2.221227,8.485567,9977.5
2010-05-14,8.435332,1.452054,2.127619,7.723434,9314.700195
2010-05-17,8.285456,1.428602,2.104066,7.651027,9286.099609
2010-05-18,8.675518,1.486006,2.157211,8.119817,9627.599609
2010-05-19,8.345983,1.456684,2.107085,7.909094,9376.5
2010-05-20,8.129815,1.43107,2.103462,7.825547,9270.5
2010-05-21,8.384412,1.490325,2.154795,7.987999,9407.299805
2010-05-24,8.214361,1.482918,2.128223,7.896098,9287.900391
2010-05-25,7.846396,1.425825,2.075077,7.586046,9004.400391
2010-05-26,7.868493,1.403294,2.069038,7.538703,9042.599609
2010-05-27,8.156716,1.463475,2.088968,7.624106,9334.900391
2010-05-28,8.286417,1.450823,2.096819,7.797698,9425.5
2010-05-31,8.185538,1.446499,2.098027,7.728076,9359.400391
2010-06-01,8.068328,1.43076,2.08474,7.613895,9299.700195
2010-06-02,7.966489,1.409159,2.056356,7.472794,9268.0
2010-06-03,7.936706,1.40453,2.035219,7.438447,9276.200195
2010-06-04,7.393885,1.330461,1.960332,7.008645,8923.400391
2010-06-07,7.245931,1.317805,1.924701,6.926955,8795.299805
2010-06-08,7.11527,1.290029,1.887861,6.827627,8669.799805
2010-06-09,7.336241,1.317499,1.93074,7.091264,8868.700195
2010-06-10,7.70997,1.394346,1.989924,7.457941,9198.200195
2010-06-11,8.137501,1.512235,2.155399,7.992641,9561.700195
2010-06-14,8.223968,1.48508,2.159023,8.070618,9584.0
2010-06-15,8.393059,1.502977,2.178952,8.285054,9742.0
2010-06-16,8.40747,1.459461,2.171705,8.252564,9683.299805
2010-06-17,8.516034,1.466868,2.174121,8.383454,9755.099609
2010-06-18,8.992563,1.666549,2.282827,8.679581,9971.799805
2010-06-21,9.040601,1.676423,2.271956,8.744562,10071.900391
2010-06-22,8.883999,1.632597,2.27256,8.688864,10016.099609
2010-06-23,8.765828,1.598651,2.250215,8.518985,9886.0
2010-06-24,8.425724,1.569333,2.188615,8.197794,9586.5
2010-06-25,8.470879,1.61933,2.195258,8.235854,9535.0
2010-06-28,8.648617,1.648647,2.25565,8.411303,9688.5
2010-06-29,8.022212,1.515633,2.21096,7.8404,9160.400391
2010-06-30,8.273927,1.553594,2.246591,8.113319,9263.400391
2010-07-01,8.177852,1.551122,2.259878,8.073402,9178.200195
2010-07-02,8.185538,1.552668,2.294301,8.137455,9250.799805
2010-07-05,8.147109,1.534456,2.298529,8.061335,9281.5
2010-07-06,8.464154,1.58723,2.356505,8.549619,9615.0
2010-07-07,8.993524,1.739692,2.519564,9.102884,9987.400391
2010-07-08,9.175105,1.746478,2.518961,9.236559,10080.5
2010-07-09,9.271179,1.730123,2.500843,9.254197,10127.299805
2010-07-12,9.144361,1.697102,2.486349,9.177148,10058.200195
2010-07-13,9.396076,1.746173,2.530435,9.403653,10259.5
2010-07-14,9.395115,1.742775,2.51111,9.389728,10278.5
2010-07-15,9.19432,1.743395,2.500239,9.15951,10160.200195
2010-07-16,9.040601,1.701731,2.468835,8.975708,9991.700195
2010-07-19,8.954134,1.651114,2.436827,8.907942,9929.799805
2010-07-20,9.125146,1.681978,2.476082,9.097315,10061.299805
2010-07-21,9.055012,1.693399,2.476686,8.976636,10040.799805
2010-07-22,9.364371,1.731359,2.528019,9.265336,10302.900391
2010-07-23,9.45372,1.719012,2.521376,9.389728,10388.200195
2010-07-26,9.693906,1.73784,2.5558,9.487199,10506.700195
2010-07-27,10.155064,1.78691,2.662694,9.672859,10645.0
2010-07-28,10.102223,1.790919,2.668129,9.682142,10643.900391
2010-07-29,10.063793,1.823325,2.664506,9.524331,10659.5
2010-07-30,9.929289,1.776416,2.635518,9.254197,10499.799805
2010-08-02,10.294371,1.853572,2.689871,9.603237,10835.400391
2010-08-03,10.366427,1.901097,2.735769,9.635727,10871.400391
2010-08-04,10.337605,1.886903,2.719463,9.603237,10843.299805
2010-08-05,10.299175,1.873016,2.717651,9.631086,10840.0
2010-08-06,10.092615,1.854804,2.686247,9.380445,10651.099609
2010-08-09,10.212708,1.872705,2.698326,9.533614,10812.599609
2010-08-10,10.159867,1.845855,2.657259,9.436143,10718.5
2010-08-11,9.693906,1.74833,2.524396,9.022122,10374.799805
2010-08-12,9.617047,1.730739,2.48816,8.992417,10342.400391
2010-08-13,9.497915,1.69525,2.456757,8.818825,10275.799805
2010-08-16,9.415291,1.685066,2.435015,8.767769,10258.299805
2010-08-17,9.559402,1.709754,2.484537,8.842961,10369.5
2010-08-18,9.573813,1.700495,2.472459,8.851316,10391.0
2010-08-19,9.446035,1.664077,2.431996,8.679581,10238.0
2010-08-20,9.290394,1.616242,2.377643,8.529196,10094.299805
2010-08-23,9.445074,1.631671,2.393949,8.729709,10221.200195
2010-08-24,9.251964,1.580444,2.331141,8.524555,10052.299805
2010-08-25,8.993524,1.546187,2.284639,8.329613,9894.0
2010-08-26,9.069423,1.556371,2.294301,8.476284,10004.400391
2010-08-27,9.133793,1.57674,2.311815,8.550547,10148.200195
2010-08-30,9.127068,1.58754,2.303964,8.543121,10136.0
2010-08-31,9.142439,1.583527,2.303964,8.583966,10187.0
2010-09-01,9.547873,1.669632,2.398176,8.994274,10544.799805
2010-09-02,9.501758,1.675187,2.394552,8.967353,10537.599609
2010-09-03,9.585342,1.685066,2.409651,9.108454,10599.400391
2010-09-06,9.589185,1.697408,2.413274,9.103813,10622.700195
2010-09-07,9.380704,1.633218,2.345635,8.951572,10479.099609
2010-09-08,9.463328,1.634143,2.352882,9.092673,10586.200195
2010-09-09,9.645869,1.68352,2.421729,9.213352,10712.900391
2010-09-10,9.636262,1.663461,2.400592,9.207782,10689.599609
2010-09-13,9.799588,1.702037,2.41569,9.259767,10765.200195
2010-09-14,9.818803,1.692473,2.41569,9.315464,10806.599609
2010-09-15,9.756355,1.674261,2.397572,9.22542,10751.799805
2010-09-16,9.732336,1.660683,2.388513,9.162295,10716.799805
2010-09-17,9.612243,1.606057,2.314231,8.976636,10588.599609
2010-09-20,9.789981,1.626426,2.314231,9.103813,10743.099609
2010-09-21,9.833214,1.615932,2.303964,9.042545,10762.5
2010-09-22,9.703514,1.583837,2.262897,8.784478,10555.200195
2010-09-23,9.674692,1.564084,2.226662,8.615528,10501.5
2010-09-24,9.910074,1.610997,2.270748,8.855957,10727.599609
2010-09-27,9.73714,1.62519,2.236325,8.700003,10613.0
2010-09-28,9.626654,1.594021,2.233909,8.661015,10590.700195
2010-09-29,9.444113,1.577666,2.201297,8.590464,10486.799805
2010-09-30,9.516169,1.573037,2.218811,8.648947,10514.5
2010-10-01,9.369175,1.554825,2.169289,8.447506,10450.099609
2010-10-04,9.270218,1.520263,2.169289,8.457718,10383.0
2010-10-05,9.583421,1.558528,2.21398,8.786335,10651.200195
2010-10-06,9.587264,1.567482,2.234513,8.808614,10700.200195
2010-10-07,9.540187,1.561616,2.22787,8.829965,10740.299805
2010-10-08,9.510404,1.547728,2.209752,8.731565,10720.799805
2010-10-11,9.351882,1.527669,2.177744,8.698147,10700.799805
2010-10-12,9.319216,1.499273,2.143925,8.628524,10648.200195
2010-10-13,9.540187,1.507606,2.162646,8.898659,10866.099609
2010-10-14,9.379743,1.490635,2.142113,8.842033,10849.700195
2010-10-15,9.49215,1.496496,2.148756,8.800259,10868.200195
2010-10-18,9.53058,1.498347,2.164458,8.856885,10897.700195
2010-10-19,9.591107,1.540011,2.181972,8.929293,10895.299805
2010-10-20,9.597832,1.539396,2.156003,8.923723,10896.900391
2010-10-21,9.415291,1.573652,2.14634,8.883806,10892.299805
2010-10-22,9.393194,1.560075,2.156003,8.939504,10924.799805
2010-10-25,9.283669,1.550506,2.119164,8.773339,10870.299805
2010-10-26,9.255807,1.524892,2.11554,8.661015,10797.799805
2010-10-27,9.023307,1.499894,2.107689,8.52177,10700.099609
2010-10-28,8.973348,1.48446,2.104066,8.491136,10753.5
2010-10-29,9.07903,1.477673,2.110709,8.569113,10812.900391
2010-11-01,8.752377,1.438787,2.062395,8.310118,10649.5
2010-11-02,8.851334,1.453601,2.07387,8.361175,10762.099609
2010-11-03,8.545817,1.422121,2.030991,8.066904,10569.5
2010-11-04,8.483369,1.423047,2.015893,8.10218,10602.799805
2010-11-05,8.375,1.386629,1.944026,7.890528,10428.099609
2010-11-08,8.25,1.365024,1.928928,7.881245,10291.799805
2010-11-09,8.373,1.402984,1.967579,8.029772,10409.799805
2010-11-10,8.146,1.374902,1.947046,7.793985,10235.400391
